category,date,sales,oos_loss_share,avg_discount_pct,base_price,final_price,temperature,precipitation,holiday_flag,days_to_holiday,days_from_holiday,holiday_name,promo_intensity,promo_flag
Bakery,2022-01-01,23405.48,0.0,0.15632476834981507,5.7651494436345665,4.748868444483941,23.4,0.0,1,0,0,New_Year,0.4504073405031642,1
Bakery,2022-01-02,9753.27,0.004479482265947728,0.17616687834536937,5.8389593951567,4.602574972291345,28.2,0.0,1,-148,1,Memorial_Day,0.5291445843291532,1
Bakery,2022-01-03,5839.01,0.027072868517094503,0.0861797049398764,5.389317127389746,5.138531788779262,39.2,0.0,1,-147,2,Memorial_Day,0.2875590211354322,1
Bakery,2022-01-04,6428.15,0.005983373132238669,0.14643922263479703,5.713868655834104,4.907384986349106,31.3,0.0,1,-146,3,Memorial_Day,0.4531692633183731,1
Bakery,2022-01-05,5152.1,0.0,0.0,5.634588032064595,5.634588032064595,44.0,0.0,1,-145,4,Memorial_Day,0.0,0
Bakery,2022-01-06,5541.0599999999995,0.017992382323959676,0.0,5.679008583195274,5.679008583195274,35.4,0.0,1,-144,5,Memorial_Day,0.0,0
Bakery,2022-01-07,6334.94,0.016498883967330395,0.0,5.431547023334081,5.431547023334081,37.0,0.0,1,-143,6,Memorial_Day,0.0,0
Bakery,2022-01-08,10628.81,0.022833421615401913,0.22655409706453025,5.695226906869161,4.409617492456823,43.8,0.0,1,-142,7,Memorial_Day,0.5372501719383449,1
Bakery,2022-01-09,10260.12,0.03178642647454416,0.0,5.565390921353748,5.565390921353748,21.5,0.0,0,-141,8,Memorial_Day,0.0,0
Bakery,2022-01-10,8866.4,0.03277266985473247,0.12141819011523237,5.524020075791753,4.881678336190562,36.8,0.0,0,-140,9,Memorial_Day,0.3468420102860236,1
Bakery,2022-01-11,7277.58,0.0,0.0,5.826664742950268,5.826664742950268,30.4,0.0,0,-139,10,Memorial_Day,0.0,0
Bakery,2022-01-12,8160.55,0.0,0.035792500074932024,5.554124991575322,5.395206291242624,26.8,0.0,0,-138,11,Memorial_Day,0.16728284245547173,0
Bakery,2022-01-13,7680.65,0.0,0.0,5.629226406619232,5.629226406619232,30.2,0.0,0,-137,12,Memorial_Day,0.0,0
Bakery,2022-01-14,11132.09,0.016472625535726,0.1413813578582279,5.241599681641095,4.851387133952386,40.0,0.0,0,-136,13,Memorial_Day,0.2827627157164557,1
Bakery,2022-01-15,13667.07,0.0,0.12393036693307345,5.862660767816365,4.997626806623511,23.3,0.38,0,-135,14,Memorial_Day,0.2478607338661469,1
Bakery,2022-01-16,11120.6,0.029346968688739813,0.04259734039740092,5.962680466881283,5.546504451198676,37.8,0.0,0,-134,15,Memorial_Day,0.19003471035735484,0
Bakery,2022-01-17,7393.01,0.018248275059820022,0.0,5.743862540426701,5.743862540426701,47.8,0.22000000000000003,0,-133,16,Memorial_Day,0.0,0
Bakery,2022-01-18,7299.36,0.008903140823305056,0.02443159400276189,5.60608702680783,5.536701299839986,32.1,0.0,0,-132,17,Memorial_Day,0.12849208697748843,0
Bakery,2022-01-19,9154.62,0.0,0.14041980677103816,6.11645876071317,4.920554288435784,43.8,0.16,0,-131,18,Memorial_Day,0.34193227026353906,1
Bakery,2022-01-20,7717.8099999999995,0.0,0.0,5.625205971642214,5.625205971642214,26.7,0.0,0,-130,19,Memorial_Day,0.0,0
Bakery,2022-01-21,9746.71,0.0,0.02235551499110853,5.5146150239414125,5.44397159656951,51.2,0.0,0,-129,20,Memorial_Day,0.10091918195986134,0
