category,date,sales,oos_loss_share,avg_discount_pct,base_price,final_price,temperature,precipitation,holiday_flag,days_to_holiday,days_from_holiday,holiday_name,promo_intensity,promo_flag,oos_adjusted_sales,day_of_week,week_of_year,month,day_of_year,week_of_month,is_weekend,day_of_week_sin,day_of_week_cos,week_of_year_sin,week_of_year_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,oos_lag_7,lag_7,lag_14,lag_28,lag_364,rolling_mean_7,rolling_mean_28,rolling_mean_364,promo_lag_7,days_since_promo,is_pre_holiday,is_holiday_peak,is_post_holiday,temp_rolling_avg_14,temp_deviation,is_extreme_cold,is_extreme_hot,heavy_precip_flag
Bakery,2022-01-01,23405.48,0.0,0.15632476834981507,5.7651494436345665,4.748868444483941,23.4,0.0,1,0,0,New_Year,0.4504073405031642,1,23405.48,5,52,1,1,1,1,-0.9749279121818236,-0.2225209339563146,6.432490598706546e-16,1.0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,,,,,,,,,,999,0,1,0,,,1,0,0
Bakery,2022-01-02,9753.27,0.004479482265947728,0.17616687834536937,5.8389593951567,4.602574972291345,28.2,0.0,1,-148,1,Memorial_Day,0.5291445843291532,1,9797.15618739817,6,52,1,2,1,1,-0.7818314824680299,0.6234898018587334,6.432490598706546e-16,1.0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,,,,,,,,,,1,0,0,1,,,1,0,0
Bakery,2022-01-03,5839.01,0.027072868517094503,0.0861797049398764,5.389317127389746,5.138531788779262,39.2,0.0,1,-147,2,Memorial_Day,0.2875590211354322,1,6001.487481493461,0,1,1,3,1,0,0.0,1.0,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,0.051584366869408364,0.9986686402879997,,,,,,,,,,1,0,0,1,,,0,0,0
Bakery,2022-01-04,6428.15,0.005983373132238669,0.14643922263479703,5.713868655834104,4.907384986349106,31.3,0.0,1,-146,3,Memorial_Day,0.4531692633183731,1,6466.843537874911,1,1,1,4,1,0,0.7818314824680298,0.6234898018587336,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,0.06875540848113941,0.9976335468520451,,,,,,,,,,1,0,0,1,,,1,0,0
Bakery,2022-01-05,5152.1,0.0,0.0,5.634588032064595,5.634588032064595,44.0,0.0,1,-145,4,Memorial_Day,0.0,0,5152.1,2,1,1,5,1,0,0.9749279121818236,-0.22252093395631434,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,0.08590610426133272,0.9963032375991965,,,,,,,,,,1,0,0,1,,,0,0,0
Bakery,2022-01-06,5541.0599999999995,0.017992382323959676,0.0,5.679008583195274,5.679008583195274,35.4,0.0,1,-144,5,Memorial_Day,0.0,0,5642.5835199864705,3,1,1,6,1,0,0.43388373911755823,-0.900968867902419,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,0.10303137904317879,0.9946781061893646,,,,,,,,,,2,0,0,1,,,0,0,0
Bakery,2022-01-07,6334.94,0.016498883967330395,0.0,5.431547023334081,5.431547023334081,37.0,0.0,1,-143,6,Memorial_Day,0.0,0,6441.212822975147,4,1,1,7,1,0,-0.433883739117558,-0.9009688679024191,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,0.1201261651823505,0.9927586335250793,,,,,,8986.694792818309,,,,3,0,0,1,,,0,0,0
Bakery,2022-01-08,10628.81,0.022833421615401913,0.22655409706453025,5.695226906869161,4.409617492456823,43.8,0.0,1,-142,7,Memorial_Day,0.5372501719383449,1,10877.173078894088,5,1,1,8,2,1,-0.9749279121818236,-0.2225209339563146,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,0.13718540405660057,0.9905453876091833,0.0,23405.48,,,,7196.936661231749,,,0.4504073405031642,4,0,0,1,,,0,0,0
Bakery,2022-01-09,10260.12,0.03178642647454416,0.0,5.565390921353748,5.565390921353748,21.5,0.0,0,-141,8,Memorial_Day,0.0,0,10596.95947314691,6,1,1,9,2,1,-0.7818314824680299,0.6234898018587334,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,0.1542040475626894,0.988039023376751,0.004479482265947728,9797.15618739817,,,,7311.194273481569,,,0.5291445843291532,1,0,0,0,,,1,0,0
Bakery,2022-01-10,8866.4,0.03277266985473247,0.12141819011523237,5.524020075791753,4.881678336190562,36.8,0.0,0,-140,9,Memorial_Day,0.3468420102860236,1,9166.82120496777,0,2,1,10,2,0,0.0,1.0,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,0.17117705961019986,0.985240282501282,0.027072868517094503,6001.487481493461,,,,7763.384805406471,,,0.2875590211354322,2,0,0,0,,,0,0,0
Bakery,2022-01-11,7277.58,0.0,0.0,5.826664742950268,5.826664742950268,30.4,0.0,0,-139,10,Memorial_Day,0.0,0,7277.58,1,2,1,11,2,0,0.7818314824680298,0.6234898018587336,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,0.18809941761179758,0.9821499931752291,0.005983373132238669,6466.843537874911,,,,7879.204299995769,,,0.4531692633183731,1,0,0,0,,,1,0,0
Bakery,2022-01-12,8160.55,0.0,0.035792500074932024,5.554124991575322,5.395206291242624,26.8,0.0,0,-138,11,Memorial_Day,0.16728284245547173,0,8160.55,2,2,1,12,2,0,0.9749279121818236,-0.22252093395631434,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,0.20496611396949532,0.9787690698649216,0.0,5152.1,,,,8308.98287142434,,,0.0,2,0,0,0,,,1,0,0
Bakery,2022-01-13,7680.65,0.0,0.0,5.629226406619232,5.629226406619232,30.2,0.0,0,-137,12,Memorial_Day,0.0,0,7680.65,3,2,1,13,2,0,0.43388373911755823,-0.900968867902419,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,0.22177215755648186,0.975098513039961,0.017992382323959676,5642.5835199864705,,,,8600.135225711989,,,0.0,3,0,0,0,,,1,0,0
Bakery,2022-01-14,11132.09,0.016472625535726,0.1413813578582279,5.241599681641095,4.851387133952386,40.0,0.0,0,-136,13,Memorial_Day,0.2827627157164557,1,11318.536005226733,4,2,1,14,2,0,-0.433883739117558,-0.9009688679024191,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,0.23851257519407648,0.9711394088771653,0.016498883967330395,6441.212822975147,,,,9296.895680319358,,,0.0,4,0,0,0,33.42857142857143,6.571428571428569,0,0,0
Bakery,2022-01-15,13667.07,0.0,0.12393036693307345,5.862660767816365,4.997626806623511,23.3,0.38,0,-135,14,Memorial_Day,0.2478607338661469,1,13667.07,5,2,1,15,3,1,-0.9749279121818236,-0.2225209339563146,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,0.2551824131233728,0.9668929289391521,0.022833421615401913,10877.173078894088,23405.48,,,9695.452383334487,,,0.5372501719383449,1,0,0,0,33.42142857142857,-10.12142857142857,1,0,1
Bakery,2022-01-16,11120.6,0.029346968688739813,0.04259734039740092,5.962680466881283,5.546504451198676,37.8,0.0,0,-134,15,Memorial_Day,0.19003471035735484,0,11456.823026635093,6,2,1,16,3,1,-0.7818314824680299,0.6234898018587334,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,0.2717767384711357,0.9623603298276545,0.03178642647454416,10596.95947314691,9797.15618739817,,,9818.2900338328,,,0.0,1,0,0,0,34.107142857142854,3.692857142857143,0,0,0
Bakery,2022-01-17,7393.01,0.018248275059820022,0.0,5.743862540426701,5.743862540426701,47.8,0.22000000000000003,0,-133,16,Memorial_Day,0.0,0,7530.427308849873,0,3,1,17,3,0,0.0,1.0,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,0.2882906407095177,0.9575429528116719,0.03277266985473247,9166.82120496777,6001.487481493461,,,9584.519477244528,,,0.3468420102860236,2,0,0,0,34.72142857142857,13.07857142857143,0,0,0
Bakery,2022-01-18,7299.36,0.008903140823305056,0.02443159400276189,5.60608702680783,5.536701299839986,32.1,0.0,0,-132,17,Memorial_Day,0.12849208697748843,0,7364.931018007245,1,3,1,18,3,0,0.7818314824680298,0.6234898018587336,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,0.3047192331091634,0.9524422234305676,0.0,7277.58,6466.843537874911,,,9596.998194102705,,,0.0,3,0,0,0,34.778571428571425,-2.6785714285714235,1,0,0
Bakery,2022-01-19,9154.62,0.0,0.14041980677103816,6.11645876071317,4.920554288435784,43.8,0.16,0,-131,18,Memorial_Day,0.34193227026353906,1,9154.62,2,3,1,19,3,0,0.9749279121818236,-0.22252093395631434,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,0.0,8160.55,5152.1,,,9739.008194102706,,,0.16728284245547173,4,0,0,0,34.76428571428571,9.035714285714285,0,0,0
Bakery,2022-01-20,7717.8099999999995,0.0,0.0,5.625205971642214,5.625205971642214,26.7,0.0,0,-130,19,Memorial_Day,0.0,0,7717.8099999999995,3,3,1,20,3,0,0.43388373911755823,-0.900968867902419,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,0.3373010691361842,0.9413968285264122,0.0,7680.65,5642.5835199864705,,,9744.316765531277,,,0.0,1,0,0,0,34.142857142857146,-7.442857142857147,1,0,0
Bakery,2022-01-21,9746.71,0.0,0.02235551499110853,5.5146150239414125,5.44397159656951,51.2,0.0,0,-129,20,Memorial_Day,0.10091918195986134,0,9746.71,4,3,1,21,3,0,-0.433883739117558,-0.9009688679024191,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,0.3534446712740877,0.9354554315134164,0.016472625535726,11318.536005226733,6441.212822975147,,,9519.77019335603,,,0.2827627157164557,2,0,0,0,35.15714285714286,16.042857142857144,0,0,0
